tickcode,ticknum,tickname ,date
A,603839.SH,安正时尚,6/2/20
B,601727.SH,上海电气,1/7/20
C,601390.SH,中国中铁,6/2/20
D,601186.SH,中国铁建,12/20/19
E,600739.SH,辽宁成大,4/3/20
F,600704.SH,物产中大,7/1/20
G,600549.SH,厦门钨业,6/2/20
H,600535.SH,天士力,11/17/20
I,600522.SH,中天科技,9/28/20
J,600380.SH,健康元,9/28/20
K,600332.SH,白云山,6/2/20
L,600298.SH,安琪酵母,9/28/20
M,600210.SH,紫江企业,2/25/20
N,600183.SH,生益科技,6/2/20
O,600170.SH,上海建工,1/9/20
P,600167.SH,联美控股,6/2/20
Q,600067.SH,冠城大通,6/2/20
R,300347.SZ,泰格医药,6/2/20
S,300296.SZ,利亚德,9/28/20
T,300271.SZ,华宇软件,6/16/20
U,300244.SZ,迪安诊断,2/28/20
V,300118.SZ,东方日升,6/2/20
W,002717.SZ,岭南股份,5/6/20
X,002429.SZ,兆驰股份,6/2/20
Y,002422.SZ,科伦药业,6/29/20
Z,002415.SZ,海康威视,6/2/20
AA,002411.SZ,延安必康,3/26/20
BB,002408.SZ,齐翔腾达,9/28/20
CC,002396.SZ,星网锐捷,6/2/20
DD,002384.SZ,东山精密,3/11/20
EE,002353.SZ,杰瑞股份,6/2/20
FF,002340.SZ,格林美,9/28/20
GG,002273.SZ,水晶光电,7/20/20
HH,002171.SZ,楚江新材,10/19/20
II,002153.SZ,石基信息,8/10/20
JJ,002152.SZ,广电运通,3/24/20
KK,002146.SZ,荣盛发展,6/2/20
LL,002091.SZ,江苏国泰,4/29/20
MM,002008.SZ,大族激光,6/2/20
NN,002007.SZ,华兰生物,6/2/20
OO,002004.SZ,华邦健康,6/2/20
PP,000967.SZ,盈峰环境,8/20/20
QQ,000723.SZ,美锦能源,5/21/20
RR,000661.SZ,长春高新,6/2/20
SS,000656.SZ,金科股份,6/2/20
TT,000630.SZ,铜陵有色,6/29/20
UU,000513.SZ,丽珠集团,8/10/20
VV,000425.SZ,徐工机械,10/19/20
WW,000333.SZ,美的集团,7/28/20
XX,000062.SZ,深圳华强,9/28/20
